timestamp,test-class,test-method,time,description,result
2021-06-08 20:30:30.164,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,34,"[1] recordIndex=6, author=12345, text=12345, info=null, xxx1=2020-02-02, xxx2=2022-02-02, xxx3=100 EUR",No ParameterResolver registered for parameter [final java.lang.String xxx4] in method [public void acme.testing.anonymous.shouts.AnonymousShoutsCreateTest.create(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-06-08 20:30:30.803,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,1,"[2] recordIndex=7, author=123456, text=123456, info=http://www.example1.org, xxx1=2020-02-03, xxx2=2022-04-02, xxx3=100 USD",No ParameterResolver registered for parameter [final java.lang.String xxx4] in method [public void acme.testing.anonymous.shouts.AnonymousShoutsCreateTest.create(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-06-08 20:30:31.319,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,1,"[3] recordIndex=8, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, xxx1=2020-02-04, xxx2=2022-06-02, xxx3=10.00 EUR",No ParameterResolver registered for parameter [final java.lang.String xxx4] in method [public void acme.testing.anonymous.shouts.AnonymousShoutsCreateTest.create(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
2021-06-08 20:30:31.902,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,2,"[4] recordIndex=9, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, xxx1=2020-02-05, xxx2=2022-08-02, xxx3=10.00 USD",No ParameterResolver registered for parameter [final java.lang.String xxx4] in method [public void acme.testing.anonymous.shouts.AnonymousShoutsCreateTest.create(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)].
